EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName,,,,,,
885595,2000-03-06T13:50:40,-4.88,102.995,33,ISC,ISC,ISC,2424218,mb,4.3,ISC,SOUTHERN SUMATRA,,,,,,
896309,2000-03-10T10:57:29,-6.09,105.333,100,ISC,ISC,ISC,2203286,ML,4,DJA,SUNDA STRAIT,,,,,,
896660,2000-03-10T13:57:23,-2.078,99.397,33,NEIC,ISC,ISC,1790234,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
907809,2000-03-14T06:06:14,-6.08,104.421,33,ISC,ISC,ISC,1733596,mb,5,NEIC,SUNDA STRAIT,,,,,,
909847,2000-03-14T22:10:25,-4.785,103.209,68.3,ISC,ISC,ISC,1733606,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
916461,2000-03-17T09:28:12,-4.817,102.265,33,ISC,ISC,ISC,1790745,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
926168,2000-03-20T06:51:05,-5.2941,105.0935,120.2,DJA,ISC,ISC,2204520,ML,3.8,DJA,SUNDA STRAIT,,,,,,
936441,2000-03-22T02:51:54,-4.995,102.921,54.7,ISC,ISC,ISC,2204737,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
948088,2000-03-24T09:53:38,-5.729,104.949,100,ISC,ISC,ISC,2205038,MD,4.1,DJA,SOUTHERN SUMATRA,,,,,,
954564,2000-03-25T13:31:09,-5.5945,104.8962,0,IDC,ISC,ISC,2425326,mb,3.6,IDC,SOUTHERN SUMATRA,,,,,,
973616,2000-03-28T14:30:15,-1.911,99.898,33,ISC,ISC,ISC,1733952,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
983969,2000-03-29T17:45:58,-2.971,103.181,250,ISC,ISC,ISC,2425643,mb,3.8,ISC,SOUTHERN SUMATRA,,,,,,
885023,2000-04-06T02:34:48,-4.881,102.967,33,ISC,ISC,ISC,1793805,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
885881,2000-04-06T10:43:48,-5.9665,103.8356,33,DJA,ISC,ISC,2206482,ML,4.9,DJA,SOUTHERN SUMATRA,,,,,,
885905,2000-04-06T10:47:34,-5.834,104.011,33,ISC,ISC,ISC,1734246,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
890965,2000-04-08T01:34:35,-3.988,103.264,115.2,ISC,ISC,ISC,1793976,mb,4.4,NEIC,SOUTHERN SUMATRA,,,,,,
892890,2000-04-08T18:35:54,-1.809,101.836,33,ISC,ISC,ISC,2676655,mb,4.5,ISC,SOUTHERN SUMATRA,,,,,,
897969,2000-04-10T15:02:27,-5.402,103.144,99,ISC,ISC,ISC,2207117,mb,3.3,ISC,SOUTHERN SUMATRA,,,,,,
904034,2000-04-12T20:48:00,-2.9078,101.1157,0,IDC,ISC,ISC,2676911,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
944767,2000-04-23T07:57:45,-2.789,101.389,75.8,ISC,ISC,ISC,1734686,mb,4.8,NEIC,SOUTHERN SUMATRA,,,,,,
966183,2000-04-26T19:25:23,-2.449,101.259,100,ISC,ISC,ISC,2677885,mb,4.6,ISC,SOUTHERN SUMATRA,,,,,,
970608,2000-04-27T13:42:50,-0.848,100.813,105.2,ISC,ISC,ISC,1734832,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
877632,2000-05-03T05:19:37,-6.075,104.835,78.9,ISC,ISC,ISC,1735030,mb,4.8,NEIC,SUNDA STRAIT,,,,,,
893839,2000-05-07T15:09:51,-5.202,100.347,33,ISC,ISC,ISC,1735202,mb,4.4,NEIC,SOUTHWEST OF SUMATRA,,,,,,
