 Latitude , Longitude , Magnitude 
-4.88,102.995,4.3
-6.09,105.333,4
-2.078,99.397,3.5
-6.08,104.421,5
-4.785,103.209,4.9
-4.817,102.265,4.3
-5.2941,105.0935,3.8
-4.995,102.921,4.2
-5.729,104.949,4.1
-5.5945,104.8962,3.6
-1.911,99.898,4.7
-2.971,103.181,3.8
-4.881,102.967,4.5
-5.9665,103.8356,4.9
-5.834,104.011,4.7
-3.988,103.264,4.4
-1.809,101.836,4.5
-5.402,103.144,3.3
-2.9078,101.1157,3.5
-2.789,101.389,4.8
-2.449,101.259,4.6
-0.848,100.813,4.3
-6.075,104.835,4.8
-5.202,100.347,4.4
-1.6945,101.8008,4.1
-0.9177,98.0562,3.8
-0.987,97.963,4.7
-0.877,98.057,5.5
-0.945,97.994,4.4
-0.923,98.014,4.5
-0.789,98.078,4.2
-0.879,98.074,5
-4.923,102.8648,3.5
-5.7643,105.0799,4.2
-3.7029,101.0907,3.4
-4.987,103.672,4.1
-5.981,105.3312,4.5
-1.4587,97.3047,3.9
-5.8454,103.3417,3.9
-1.21,97.579,4.6
-3.686,102.007,4.6
-4.709,103.245,4.6
-4.304,102.21,5
-4.692,102.141,7.9
-4.636,102.02,6.7
-4.9812,102.9203,4.6
-5.1664,102.3935,4.6
-5.4034,102.5582,4.7
-4.0933,101.9648,4.5
-4.6804,102.0826,4.4
-5.2027,102.8166,4.4
-4.689,102.2261,4.2
-5.252,102.588,4.6
-5.5972,102.8381,3.8
-4.7625,102.0092,4.1
-4.168,102.6,4.6
-5.2313,103.1888,3.7
-4.6333,101.526,3.5
-4.842,102.307,3.8
-5.619,103.004,5.1
-5.362,102.57,5.1
-5.179,102.698,4.3
-5.684,102.776,4.2
-5.326,103.286,4.5
-4.345,102.379,4.6
-5.558,102.396,4.7
-5.0611,102.2206,4.7
-5.487,103.494,4.3
-5.588,102.816,4.9
-4.926,102.149,5
-5.2827,100.0896,4
-4.869,101.936,4.8
-5.47,103.148,4.2
-5.3535,103.3836,4.3
-5.379,102.398,4.7
-5.499,102.7,4.9
-5.009,102.123,4.9
-5.865,102.607,4.3
-4.0495,101.7528,3.7
-5.065,102.225,3.8
-5.3212,100.9793,3.5
-5.4279,102.9253,3.7
-4.3216,103.7537,3.5
-5.875,102.691,4
-3.8706,101.51,3.7
-4.822,102.107,3.9
-5.081,102.791,4.7
-5.838,102.587,4.5
-5.493,103.103,4.3
-5.147,102.068,4.4
-5.172,102.457,4.3
-4.373,102.211,4.9
-5.176,102.568,5.1
-5.517,102.599,4.2
-5.5145,102.1444,4.1
-4.592,102.078,4.2
-4.544,102.016,5.1
-4.58,101.926,5
-4.908,102.889,4
-5.1362,103.3809,3.5
-4.673,102.139,4.9
-5.64,102.68,4.7
-4.774,102.288,4.9
-4.726,102.013,3.9
-4.5811,101.1042,4.7
-5.1738,102.9514,3.9
-4.464,102.454,4.9
-5.06,101.953,4.5
-4.775,102.259,5
-5.334,102.269,4.5
-4.52,102.15,4.9
-4.61,102.133,4.6
-5.746,102.814,4.6
-4.985,101.801,4.1
-4.81,102.115,5.4
-4.6948,104.4531,3.6
-4.9053,102.9201,3.5
-4.764,101.765,4.6
-4.782,101.42,3.9
-5.01,102.192,4.9
-5.622,102.691,4.9
-5.348,102.746,4.8
-5.451,102.579,4.6
-4.975,102.213,5.3
-4.374,102.202,4.6
-4.8563,102.9962,3.9
-3.8496,102.5878,3.7
-4.453,102.311,4.2
-4.8,102.4876,3.8
-5.728,102.919,4.3
-4.888,102.587,5.1
-5.457,102.067,4.6
-4.93,102.381,4.9
-4.681,102.231,4.6
-5.203,101.923,4.5
-4.768,102.642,4.6
-5.603,102.856,4.2
-5.713,102.825,4.1
-4.969,101.936,4.5
-5.174,101.5927,4.1
-5.4408,103.1438,3.7
-4.942,102.364,5.1
-5.9895,101.0892,4.1
-4.54,102.207,4.4
-4.471,102.437,5.1
-4.066,102.079,4.5
-4.6184,100.8208,4.3
-4.3474,101.5525,4
-5.615,102.93,5.8
